;features;coefficients
1;Medu;0.8596854362771681
6;Mjob_health;0.6931812846354468
14;Fjob_teacher;0.5946675742340681
8;Mjob_services;0.4343563023520731
0;studytime;0.30572135657707333
2;Fedu;0.1586138327730634
11;Fjob_health;-0.03876139559828213
13;Fjob_services;-0.13380352748311103
10;Fjob_at_home;-0.18152453651125575
4;traveltime;-0.23119335627607648
12;Fjob_other;-0.24057811464142814
7;Mjob_other;-0.284648253778645
9;Mjob_teacher;-0.3572382212761394
15;Pstatus_T;-0.4484673731755179
5;Mjob_at_home;-0.4856511119327439
3;goout;-0.6020068725454958
16;romantic_yes;-1.1657054404098448
