,studytime,Pstatus,Medu,Fedu,Mjob,Fjob,goout,romantic,traveltime
count,316.0,316,316.0,316.0,316,316,316.0,316,316.0
unique,,2,,,5,5,,2,
top,,T,,,other,other,,no,
freq,,290,,,115,174,,209,
mean,2.0474683544303796,,2.7974683544303796,2.5474683544303796,,,3.1202531645569622,,1.4367088607594938
std,0.8438159256945159,,1.0676156116475017,1.0900531145986303,,,1.0917153820418484,,0.6801824620170108
min,1.0,,1.0,0.0,,,1.0,,1.0
25%,1.0,,2.0,2.0,,,2.0,,1.0
50%,2.0,,3.0,2.5,,,3.0,,1.0
75%,2.0,,4.0,4.0,,,4.0,,2.0
max,4.0,,4.0,4.0,,,5.0,,4.0
